BOL_game_id,week,player_name,position,team,proj_passingYards,proj_passingCompletions,proj_passingTouchdowns,proj_passingAttempts,proj_passingInterceptions,proj_rushingYards,proj_rushingAttempts,proj_receivingYards,proj_receivingReceptions,proj_defensiveTotalTackles,proj_defensiveSacks,proj_defensiveInterceptions,proj_rushingTouchdowns,proj_receivingTouchdowns,BetTimeStamp,NFL_game_id,officialDate,Location
259328,1,Jaylin Lane,WR,WAS,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Home
259327,1,Ja'Tavion Sanders,TE,CAR,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259336,1,DeAndre Hopkins,WR,BAL,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Away
259337,1,Olamide Zaccheaus,WR,CHI,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Home
259326,1,Malik Washington,WR,MIA,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Away
259327,1,Trevor Lawrence,QB,JAX,238.09500000000008,21.375000000000007,1.5,32.495000000000005,0.5349999999999999,15.224999999999996,4.1475,,,,,,0.23519394512771996,0.0,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Home
259334,1,Isaac TeSlaa,WR,DET,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Away
259325,1,Jonnu Smith,TE,PIT,,,,,,,,28.05,2.1000000000000005,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259325,1,Pat Freiermuth,TE,PIT,,,,,,,,27.77499999999999,3.2125,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259325,1,Calvin Austin III,WR,PIT,,,,,,,,23.97,1.6875000000000004,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Away
259332,1,Marquez Valdes-Scantling,WR,SF,,,,,,,,,,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Away
259327,1,Parker Washington,WR,JAX,,,,,,,,13.5,1.395,,,,0.0,0.23519394512771996,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Home
259328,1,Theo Johnson,TE,NYG,,,,,,,,23.734999999999992,2.0250000000000004,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Away
259335,1,Tyler Higbee,TE,LA,,,,,,,,22.724999999999994,2.5,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Home
259335,1,Tutu Atwell,WR,LA,,,,,,,,22.275000000000006,1.3625,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Home
259330,1,Andrei Iosivas,WR,CIN,,,,,,,,21.714999999999993,1.3625,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Away
259336,1,Joshua Palmer,WR,BUF,,,,,,,,,,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259323,1,Kareem Hunt,RB,KC,,,,,,21.5,6.3050000000000015,,,,,,0.26217807211184696,0.0,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Away
259323,1,Quentin Johnston,WR,LAC,,,,,,,,24.5,1.9,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Home
259331,1,Tre Tucker,WR,LV,,,,,,,,,,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_LV_NE,2025-09-07,Away
259332,1,Zach Charbonnet,RB,SEA,,,,,,30.679999999999996,7.5074999999999985,9.215000000000002,1.3575,,,,0.26217807211184696,0.0,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Home
259329,1,Rashid Shaheed,WR,NO,,,,,,,,41.08,2.52,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_ARI_NO,2025-09-07,Home
259337,1,Colston Loveland,TE,CHI,,,,,,,,29.5,3.2750000000000004,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Home
259332,1,AJ Barner,TE,SEA,,,,,,,,,,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Home
259336,1,Dalton Kincaid,TE,BUF,,,,,,,,31.18500000000001,,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259331,1,Drake Maye,QB,NE,214.5,20.295000000000005,1.1024999999999998,29.61000000000001,0.47500000000000014,28.91,4.592499999999999,,,,,,0.26217807211184696,0.0,2025-09-04T14:12:53.294042,2025_01_LV_NE,2025-09-07,Home
259328,1,Noah Brown,WR,WAS,,,,,,,,,,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Home
259328,1,Darius Slayton,WR,NYG,,,,,,,,27.285,2.085,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Away
259335,1,Dalton Schultz,TE,HOU,,,,,,,,23.734999999999992,2.5,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Away
259327,1,Brenton Strange,TE,JAX,,,,,,,,28.5,3.4375,,,,0.0,0.26217807211184696,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Home
259324,1,Payne Durham,TE,TB,,,,,,,,,,,,,0.0,0.2805956174940132,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Away
259326,1,Alec Pierce,WR,IND,,,,,,,,,,,,,0.0,0.2805956174940132,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259331,1,DeMario Douglas,WR,NE,,,,,,,,32.5,3.1324999999999994,,,,0.0,0.2805956174940132,2025-09-04T14:12:53.294042,2025_01_LV_NE,2025-09-07,Home
259335,1,Dameon Pierce,RB,HOU,,,,,,,,,,,,,0.2805956174940132,0.0,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Away
259331,1,Dont'e Thornton Jr.,WR,LV,,,,,,,,,,,,,0.0,0.2805956174940132,2025-09-04T14:12:53.294042,2025_01_LV_NE,2025-09-07,Away
259333,1,Bo Nix,QB,DEN,208.39500000000007,22.959999999999997,1.7324999999999997,32.44499999999999,0.4050000000000001,18.684999999999995,5.2875,,,,,,0.2805956174940132,0.0,2025-09-04T14:12:53.294042,2025_01_TEN_DEN,2025-09-07,Home
259327,1,Rico Dowdle,RB,CAR,,,,,,23.520000000000003,,,,,,,0.29826446280991736,0.0,2025-09-04T14:12:53.294042,2025_01_CAR_JAX,2025-09-07,Away
259324,1,Cade Otton,TE,TB,,,,,,,,36.2375,2.5725,,,,0.0,0.29826446280991736,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Away
259328,1,Cam Skattebo,RB,NYG,,,,,,,,,,,,,0.29826446280991736,0.0,2025-09-04T14:12:53.294042,2025_01_NYG_WAS,2025-09-07,Away
259323,1,Keenan Allen,WR,LAC,,,,,,,,39.5,4.34,,,,0.0,0.29826446280991736,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Home
259334,1,Dontayvion Wicks,WR,GB,,,,,,,,,,,,,0.0,0.29826446280991736,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Home
259330,1,Mike Gesicki,TE,CIN,,,,,,,,19.5,1.9,,,,0.0,0.29826446280991736,2025-09-04T14:12:53.294042,2025_01_CIN_CLE,2025-09-07,Away
259324,1,Rachaad White,RB,TB,,,,,,,,,,,,,0.29826446280991736,0.0,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Away
259329,1,Trey Benson,RB,ARI,,,,,,25.5,,,,,,,0.29826446280991736,0.0,2025-09-04T14:12:53.294042,2025_01_ARI_NO,2025-09-07,Away
259337,1,Adam Thielen,WR,MIN,,,,,,,,32.5,2.2050000000000005,,,,0.0,0.29826446280991736,2025-09-04T14:12:53.294042,2025_01_MIN_CHI,2025-09-08,Away
