week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Joe Flacco,2025-09-07T08:35:45.532331,,,,0.7255000248826726,42.7972498930271,27.197499679080394,256.1437473591578,,,1.302749930090107,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Mike Gesicki,2025-09-07T08:35:45.532987,20.09249975286127,2.0637502693008565,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Tee Higgins,2025-09-07T08:35:45.533691,65.59549679410497,4.482500296018266,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Amon-Ra St. Brown,2025-09-07T08:35:55.818139,53.96624568137126,5.196749584132047,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,David Montgomery,2025-09-07T08:35:55.819086,,,,,,,,9.292499647850564,41.33024933168619,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Isaac TeSlaa,2025-09-02T19:30:46.670390,15.702998458652527,1.544999922716619,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Jahmyr Gibbs,2025-09-07T08:35:55.820459,23.887751408650345,3.6962500045921645,0.37968689981515097,,,,,13.277249190775334,60.040250991054904,,0.15106309727547157
1,2025-09-07,Detroit Lions,Green Bay Packers,Jameson Williams,2025-09-07T08:35:55.821039,54.38275320692738,4.403000037212135,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Jared Goff,2025-09-07T08:35:55.822265,,,,0.47099996057897847,32.22374877699141,22.871251348707776,252.56376765841793,1.2675000584363931,,1.4872499435534496,
1,2025-09-07,Detroit Lions,Green Bay Packers,Jordan Love,2025-09-07T08:35:55.823525,,,,0.5042500188155168,33.1535013045876,20.838251228822642,267.2127373625044,2.045250000243634,,1.4077500087281325,
1,2025-09-07,Detroit Lions,Green Bay Packers,Josh Jacobs,2025-09-07T08:35:55.824776,14.5,1.251249977546334,0.5096332418725151,,,,,17.184751201500603,71.66325422595104,,0.1031167519109882
1,2025-09-07,Detroit Lions,Green Bay Packers,Matthew Golden,2025-09-07T08:35:55.825264,44.74499625500295,4.56224995986265,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Sam LaPorta,2025-09-07T08:35:55.825887,39.462499892719094,4.537749993996545,,,,,,,,,
1,2025-09-07,Detroit Lions,Green Bay Packers,Tucker Kraft,2025-09-07T08:35:55.826389,39.67550156122778,3.0397498368769167,,,,,,,,,
